Employee_ID,First_Name,Last_Name,Gender,Date_of_Birth,Email_Address,Phone_Number,State_of_Origin,Department,Job_Title,Employment_Type,Employment_Status,Date_of_Hire,Date_of_Exit,Monthly_Gross_Salary_NGN,Bank_Name,Bank_Account_Number,Education_Level,Years_of_Experience,Annual_Leave_Balance_Days,Performance_Rating_2024,Manager_Employee_ID,Office_Location,National_ID_Number,Tax_Identification_Number
EMP-00635,Segun, Adewale,Male,6/6/1991,segun@gtechsolutions.com.ng,0070-228-8135,Bayelsa,LEGAL,Legal Manager,CONTRACT,Active,10/9/2019,,"N609,000",First Bank,446626610,B.Sc,,21,Average,EMP-00094,Abuja Office,Unknown,75224158-6246
EMP-00778,Blessing,Adeleke,FEMALE,27-Apr-80,blessing@g-tech.com.ng,2.34E+12,Enugu,SUPPLY CHAIN,Procurement Officer,Full Time,Active,4/20/2024,,334000,UBA,287914809,TBD,7,12,4,EMP-01166,Lagos HQ,74169843663,73837621-7087
EMP-00949, Titi,OGUNDIMU,Ms,22/02/1991,togundimu@gtechsol.ng,846129050,Rivers,CUSTOMER SERVICE,CS Team Lead,Contract,Active,25.06.2018,,124.0K,Zenith Bank,823409799,M.Sc,10+ years,14,N/A,NIL,lag hq,n/a,48512305-8606
EMP-00149, Femi,Adewale,male,10-Apr-94,femi_adewale@g-tech.com.ng,2.34E+13,Delta,Operations,Operations Officer,FT,Active,10/12/2022,,269000,Stanbic IBTC,1877776788,SSCE,5,TBD,C,EMP-00615,Port Harcourt Branch,NULL,72982807-4206
EMP-00242,Ifeanyi ,Lawal,Male,6-Jul-90,lawal_ifeanyi@g-tech_com_ng,2.34E+13,Edo,Operations,Operations Coordinator,CONTRACT,Active,24.01.2020,,118000,Access Bank,4888501524,M.Sc,16,5,Exceeds Expectations,EMP-00853,Lagos Island,54969192845,27197789-7054
EMP-00360,Babatunde, Fayemi,Mr,21.08.1990,babatunde360@gtech-solutions.ng,2.34E+13,Kano,Supply Chain Dept,Procurement Officer,FULL-TIME,#N/A,3/6/2021,,"N377,000",Sterling Bank,8820108666,N/A,12,14,N/A,EMP-00811,Lagos Island,4123190577,
EMP-00162,Biodun ,Obiora,Male,4/3/1994,biodun_obiora@gtechsolutions.com.ng,2.34E+12,Nasarawa,legal,Legal Officer,FULL-TIME,Active,5/9/2019,,"#219,000",Stanbic IBTC,"1,778,197,615",M.Sc,12,7,Good,Not Available,Kano Office,,84057077-3134
EMP-00332,EBELE,Adegoke ,FEMALE,26/08/1994,ebele.adegoke@g-tech.com.ng,0071-870-2666,Kaduna,human resources,HR Manager,Part-Time,N/A,5/23/2018,,"#176,000",Sterling Bank,2833184319,SSCE,22,5,Exceeds Expectations,EMP-01291,lagos hq,84673574223,39083765-3502
EMP-01068,Tobi, Aliyu,Mr,11/13/1990,tobi@gtechsolutions.com.ng,2.34E+12,Unknown,Legal,Company Secretary,Contractor,Inactive,19-Jan-23,,237000,Keystone Bank,7526124944,M.Sc,12,7,Average,EMP-01073,Lagos Island,31744851954,32876971-4652
EMP-00915,Oluwatobi,Oduya,Mr,06.01.1994,oduya.oluwatobi@gtechsol.ng,2.34E+11,Ondo,customer service,Customer Experience Officer,CONTR,Active,23-Jun-22,,207000,Fidelity Bank,815991215,OND,10,2,B,EMP-00789,Wuse II,63580533151,20365975-4227
EMP-00223,Uchechi,adesanya,female,06.05.1982,adesanya.uchechi@gtech-solutions.ng,2.34E+12,Ekiti,Legal,Legal Manager,FT,Active,8/8/2019,,242.0K,First Bank,1540448538,SSCE,2,14,5,EMP-00030,Lagos HQ,32650977539,38834825-8425
